iter	RMSE
0	4.511857423
1	4.414984962
2	4.327489138
3	4.253046596
4	4.169454895
5	4.078915542
6	4.000418692
7	3.932361751
8	3.850631982
9	3.777116667
10	3.702091455
11	3.636311829
12	3.559618485
13	3.504589493
14	3.444826081
15	3.383510582
16	3.312723209
17	3.262670514
18	3.203490666
19	3.147511358
20	3.092668151
21	3.033123083
22	2.97470858
23	2.93135658
24	2.886685098
25	2.841787521
26	2.791799396
27	2.747781932
28	2.707530308
29	2.672441095
30	2.630391714
31	2.583800959
32	2.543652037
33	2.507348594
34	2.469416144
35	2.435867707
36	2.396139378
37	2.36182812
38	2.326820203
39	2.295243766
40	2.259847414
41	2.228496158
42	2.204375273
43	2.179698401
44	2.143516301
45	2.117225921
46	2.085867422
47	2.058655948
48	2.029800282
49	2.003570404
50	1.976378624
51	1.952865682
52	1.923363634
53	1.907627566
54	1.882889206
55	1.858761447
56	1.835090982
57	1.811330337
58	1.793311977
59	1.775655748
60	1.75392677
61	1.739233545
62	1.724000065
63	1.704927305
64	1.683817384
65	1.667415733
66	1.656112579
67	1.643680469
68	1.627014181
69	1.605579258
70	1.591357213
71	1.577584039
72	1.559533485
73	1.544517332
74	1.53405612
75	1.519851658
76	1.509610175
77	1.495942885
78	1.481772514
79	1.466117457
80	1.455775122
81	1.439063559
82	1.429022125
83	1.419176525
84	1.409165522
85	1.398361113
86	1.38691908
87	1.376002009
88	1.369422453
89	1.360054869
90	1.348998191
91	1.343083231
92	1.335713606
93	1.3270669
94	1.320140897
95	1.306375463
96	1.299604095
97	1.288625785
98	1.282621482
99	1.274961584
100	1.266311491
101	1.255293037
102	1.242512901
103	1.233166822
104	1.222640065
105	1.214599208
106	1.205657285
107	1.199579326
108	1.195007288
109	1.190893231
110	1.181865155
111	1.176345303
112	1.172419008
113	1.166609027
114	1.161651499
115	1.156011611
116	1.148573968
117	1.140510727
118	1.136589978
119	1.131060127
120	1.126189853
121	1.120410054
122	1.115217378
123	1.106754799
124	1.098454452
125	1.093662212
126	1.089285336
127	1.083879853
128	1.079042448
129	1.075056732
130	1.068106558
131	1.061657684
132	1.052879366
133	1.047518299
134	1.041834254
135	1.036921905
136	1.029740712
137	1.022954646
138	1.020757919
139	1.014775889
140	1.010223103
141	1.003967919
142	1.001976903
143	1.000099449
144	0.9923078746
145	0.9903645919
146	0.9866934241
147	0.9814248118
148	0.975229905
149	0.9712240302
150	0.966823032
151	0.9597568398
152	0.9567022777
153	0.9523925084
154	0.9488085564
155	0.9466176562
156	0.9404205028
157	0.938101215
158	0.9353695909
159	0.9275075833
160	0.9233866934
161	0.9207315796
162	0.9179706231
163	0.9083542805
164	0.9056550361
165	0.9007994686
166	0.8979134391
167	0.8923811544
168	0.8882133064
169	0.8858468966
170	0.8830610764
171	0.8784432936
172	0.8754933584
173	0.8708536361
174	0.8676353138
175	0.8640633758
176	0.8626733475
177	0.8579255957
178	0.8530512014
179	0.8510022451
180	0.8460759185
181	0.8427523834
182	0.8411089887
183	0.8394386953
184	0.8358869149
185	0.8338658772
186	0.8300177375
187	0.8275572809
188	0.8253729004
189	0.82290268
190	0.8200238594
191	0.8159094855
192	0.8123778205
193	0.8085093607
194	0.8029697066
195	0.7988856702
196	0.7966640995
197	0.7923252656
198	0.7886198591
199	0.7827422781
200	0.7780186106
201	0.7761120834
202	0.7720066021
203	0.7689803469
204	0.7650616262
205	0.7594636328
206	0.7548611512
207	0.7524167712
208	0.7493333546
209	0.7441413659
210	0.741384155
211	0.737552886
212	0.7352788799
213	0.7319661697
214	0.7282200437
215	0.7251308982
216	0.7222501056
217	0.7195728407
218	0.7149851131
219	0.7123865931
220	0.7100231508
221	0.7069927006
222	0.7051534094
223	0.7030922762
224	0.698935256
225	0.697131269
226	0.695753966
227	0.6922947374
228	0.689650207
229	0.6862474352
230	0.6838867862
231	0.6816389396
232	0.6803103714
233	0.6783068952
234	0.6758724605
235	0.6725614293
236	0.6687784205
237	0.667169911
238	0.6648041517
239	0.6636348942
240	0.6612917063
241	0.6608602373
242	0.6582021162
243	0.655711106
244	0.6534138472
245	0.6513818688
246	0.650679563
247	0.6478281231
248	0.6466796939
249	0.6453006535
250	0.6436359429
251	0.6417093656
252	0.6408941419
253	0.6399412185
254	0.6385631783
255	0.6368244914
256	0.6364273105
257	0.6345254406
258	0.6340444564
259	0.6338240045
260	0.6328260942
261	0.6316557897
262	0.6293391093
263	0.6274903578
264	0.6272966844
265	0.6269842358
266	0.6258775229
267	0.623632614
268	0.6211786585
269	0.6196398258
270	0.618022788
271	0.6156155671
272	0.6154313388
273	0.6152581163
274	0.6134437678
275	0.611530517
276	0.6101675641
277	0.6099801795
278	0.6066070905
279	0.6043955152
280	0.6032550111
281	0.6009497893
282	0.600779384
283	0.6004597623
284	0.5989704745
285	0.5984340587
286	0.5981007513
287	0.5953807981
288	0.5926320646
289	0.5912626692
290	0.589968609
291	0.5879592654
292	0.5872245293
293	0.5866365457
294	0.5850606765
295	0.5830762443
296	0.5821253414
297	0.5819579384
298	0.5816638964
299	0.5800113946
300	0.5784049154
301	0.5781894985
302	0.5780455989
303	0.5765762453
304	0.5734686207
305	0.5709503951
306	0.5690112829
307	0.5669237248
308	0.5667676042
309	0.5647825082
310	0.562412553
311	0.5622617787
312	0.5610095458
313	0.5607046544
314	0.5604730277
315	0.5586597529
316	0.5562864181
317	0.5559052445
318	0.5533140087
319	0.5520695251
320	0.5499149257
321	0.5471743059
322	0.5467023189
323	0.5449370058
324	0.5438496315
325	0.5437572223
326	0.5420715018
327	0.5404411104
328	0.5389716765
329	0.537447783
330	0.5355257916
331	0.5346860262
332	0.5343381727
333	0.5333100326
334	0.5322911917
335	0.5320590266
336	0.5300198373
337	0.5288767839
338	0.528072046
339	0.5260038302
340	0.5252816623
341	0.5236884193
342	0.523576067
343	0.5228196782
344	0.5212716222
345	0.5195790981
346	0.5181477536
347	0.5155163313
348	0.5141803363
349	0.5136992012
350	0.5120199123
351	0.5117926656
352	0.5111718272
353	0.510928383
354	0.5104006998
355	0.5087028615
356	0.5075631266
357	0.5074868694
358	0.5073902004
359	0.5058884989
360	0.5053994028
361	0.5036085567
362	0.5030054695
363	0.5021297391
364	0.5014835954
365	0.5013894905
366	0.5012981403
367	0.5012319476
368	0.5010181039
369	0.5003592359
370	0.4979996701
371	0.497399092
372	0.4968158841
373	0.494837374
374	0.4936477127
375	0.4920189875
376	0.4906768103
377	0.4893702899
378	0.4878106397
379	0.4863116835
380	0.4841368566
381	0.4822665813
382	0.4814805032
383	0.4806146056
384	0.4805437862
385	0.4798968279
386	0.4782053576
387	0.4780017663
388	0.4775252261
389	0.4760634205
390	0.4757601391
391	0.474999404
392	0.4727889516
393	0.4702124193
394	0.4685537893
395	0.4675599709
396	0.4673535013
397	0.4652892592
398	0.4652378546
399	0.4637279425
400	0.4625636521
401	0.4614396153
402	0.4613050913
403	0.4610898208
404	0.461040274
405	0.4591984425
406	0.457658859
407	0.4565690217
408	0.4563475601
409	0.4547962333
410	0.4525897938
411	0.4524316704
412	0.4518713183
413	0.4513519387
414	0.4493245295
415	0.4491551086
416	0.4481156361
417	0.4472261044
418	0.4468699202
419	0.4453845496
420	0.4434222491
421	0.4426516031
422	0.4421322749
423	0.4420865351
424	0.4414286178
425	0.4413442106
426	0.4405844803
427	0.4391036365
428	0.4390362667
429	0.4376270254
430	0.4366063094
431	0.4349961784
432	0.4334834759
433	0.4324366516
434	0.4317239838
435	0.4315549381
436	0.4307549261
437	0.4299122225
438	0.4296273897
439	0.4278513452
440	0.4266262912
441	0.4264521872
442	0.426301799
443	0.4252992724
444	0.4241183878
445	0.4231030756
446	0.4219390528
447	0.4207091268
448	0.4191227941
449	0.4177433649
450	0.4168468962
451	0.415956607
452	0.4142809109
453	0.413247722
454	0.4128238594
455	0.4114880853
456	0.4108128941
457	0.4099119528
458	0.4081402271
459	0.406942169
460	0.406059655
461	0.4045200729
462	0.4032596969
463	0.4031741128
464	0.4022172382
465	0.4019685384
466	0.40110288
467	0.4003980376
468	0.3988678915
469	0.3974712631
470	0.3964718787
471	0.3952508549
472	0.3946190386
473	0.3934011517
474	0.3923098617
475	0.3904682895
476	0.3901810563
477	0.3894488106
478	0.3878461119
479	0.3862734634
480	0.3859766331
481	0.3856074622
482	0.3847870026
483	0.3841613021
484	0.3840101878
485	0.3825986599
486	0.3815369714
487	0.3806134631
488	0.3800266828
489	0.3794458583
490	0.3780692352
491	0.377388883
492	0.3761205095
493	0.3751928121
494	0.3749996972
495	0.3735379813
496	0.3723457224
497	0.3718617125
498	0.3706631764
499	0.370523472
500	0.3703631678
501	0.3694745973
502	0.3684195271
503	0.3671388844
504	0.3657906896
505	0.3644887406
506	0.3634253509
507	0.3626947055
508	0.3622091393
509	0.3617403372
510	0.3612179225
511	0.3601837751
512	0.3586637927
513	0.3577792485
514	0.3566938905
515	0.3561124796
516	0.3549296164
517	0.3544171275
518	0.3540058056
519	0.3530462303
520	0.3515926157
521	0.350842464
522	0.3494989592
523	0.3493923798
524	0.3487461411
525	0.3486107269
526	0.3470252629
527	0.3464865052
528	0.3463527698
529	0.3458370309
530	0.3447702375
531	0.3443493792
532	0.3435763992
533	0.3428367417
534	0.3424004628
535	0.3421041482
536	0.3406064423
537	0.3400228184
538	0.3398554027
539	0.3387103946
540	0.3378262796
541	0.3371196756
542	0.3365075148
543	0.3360547581
544	0.3351445234
545	0.3347894456
546	0.3341485503
547	0.3332488755
548	0.3324523337
549	0.3317388217
550	0.3305526721
551	0.3295584283
552	0.3287499402
553	0.3277011577
554	0.3268616443
555	0.3257156346
556	0.3251075815
557	0.3244508103
558	0.3232064516
559	0.3230313459
560	0.3222381943
561	0.3219221804
562	0.3207650526
563	0.3194428422
564	0.3192631251
565	0.3182369981
566	0.317872152
567	0.3175210633
568	0.3170965347
569	0.3164684318
570	0.3159829508
571	0.3148347011
572	0.3133048205
573	0.3125818012
574	0.3116979422
575	0.310715253
576	0.3095433766
577	0.3088435057
578	0.30815678
579	0.3069074517
580	0.3062847097
581	0.3054550967
582	0.3052455635
583	0.3044273041
584	0.3036562569
585	0.3030140361
586	0.3019451907
587	0.3008421099
588	0.3000080272
589	0.2982498884
590	0.2976377589
591	0.2971572755
592	0.2961254878
593	0.2952389155
594	0.2944261676
595	0.2937518427
596	0.2926286457
597	0.2921410954
598	0.2913138783
599	0.2903184522
600	0.2898394809
601	0.2890719036
602	0.2887983823
603	0.2880863328
604	0.2878082635
605	0.2869608381
606	0.2863874435
607	0.2855717064
608	0.2851432993
609	0.2839367106
610	0.282899149
611	0.2822442434
612	0.2815288336
613	0.2805972261
614	0.279780709
615	0.2791278281
616	0.2784999836
617	0.2777121421
618	0.2769863501
619	0.2767305978
620	0.275541285
621	0.2745899383
622	0.2735364209
623	0.2729957765
624	0.2727159407
625	0.2719120869
626	0.2708557608
627	0.2703761736
628	0.2697250505
629	0.2693580413
630	0.2690886915
631	0.267852702
632	0.2672639191
633	0.2665738222
634	0.2660546228
635	0.2656216499
636	0.2653830955
637	0.2650596439
638	0.2646917829
639	0.2634252721
640	0.2629825788
641	0.2624458371
642	0.262166353
643	0.2618186704
644	0.2614184633
645	0.2609345077
646	0.2602813892
647	0.2599687169
648	0.2595461914
649	0.2589765711
650	0.2583309442
651	0.2575590576
652	0.2571291816
653	0.2564694756
654	0.2557084981
655	0.2549351748
656	0.2542805993
657	0.2535840686
658	0.2527949128
659	0.2520675929
660	0.2514737146
661	0.2509720758
662	0.2499114628
663	0.2491615992
664	0.2485714619
665	0.2478618864
666	0.2471920122
667	0.2469255141
668	0.2466774231
669	0.2460525631
670	0.2451313898
671	0.2448583543
672	0.2439269055
673	0.2435468187
674	0.2430219459
675	0.242282146
676	0.2419381007
677	0.2413464371
678	0.2409215003
679	0.240715012
680	0.2405228258
681	0.2401734242
682	0.2394129443
683	0.2391036206
684	0.2389222712
685	0.2386641292
686	0.2383628818
687	0.2376492271
688	0.2372810608
