iter	Passed	Remaining
0	59	58962
1	59	29894
2	60	20227
3	61	15355
4	63	12584
5	64	10715
6	65	9273
7	66	8193
8	67	7429
9	68	6745
10	68	6184
11	69	5717
12	70	5378
13	72	5093
14	73	4799
15	73	4538
16	74	4306
17	75	4098
18	75	3911
19	76	3743
20	77	3593
21	78	3472
22	79	3376
23	80	3259
24	81	3171
25	82	3087
26	83	2995
27	83	2908
28	84	2829
29	85	2755
30	85	2685
31	86	2618
32	87	2555
33	87	2495
34	88	2438
35	89	2394
36	90	2343
37	90	2295
38	91	2243
39	91	2200
40	92	2159
41	92	2120
42	93	2084
43	94	2050
44	95	2022
45	95	1989
46	96	1957
47	97	1928
48	97	1899
49	98	1873
50	99	1845
51	99	1820
52	100	1794
53	101	1771
54	101	1748
55	102	1725
56	102	1703
57	103	1682
58	104	1674
59	105	1655
60	106	1637
61	106	1618
62	107	1600
63	108	1583
64	108	1561
65	109	1545
66	109	1529
67	110	1514
68	111	1499
69	111	1486
70	112	1472
71	113	1459
72	114	1451
73	115	1445
74	116	1432
75	116	1419
76	117	1407
77	117	1394
78	118	1382
79	119	1371
80	119	1359
81	120	1348
82	121	1337
83	122	1330
84	123	1330
85	124	1320
86	124	1310
87	125	1301
88	126	1291
89	126	1282
90	127	1276
91	128	1267
92	128	1254
93	129	1245
94	129	1237
95	130	1228
96	131	1220
97	131	1212
98	132	1205
99	133	1197
100	133	1189
101	134	1181
102	134	1174
103	135	1167
104	136	1160
105	136	1153
106	137	1146
107	138	1142
108	139	1136
109	140	1135
110	140	1129
111	141	1123
112	142	1117
113	143	1116
114	144	1111
115	145	1105
116	145	1099
117	146	1094
118	147	1091
119	147	1085
120	148	1079
121	149	1074
122	149	1068
123	150	1063
124	151	1057
125	151	1052
126	152	1047
127	153	1046
128	154	1042
129	155	1038
130	155	1033
131	156	1028
132	157	1023
133	157	1020
134	158	1015
135	159	1011
136	160	1008
137	160	1004
138	161	1002
139	162	998
140	163	994
141	163	989
142	164	985
143	165	981
144	165	977
145	166	974
146	167	970
147	167	965
148	168	961
149	168	957
150	169	953
151	170	950
152	171	946
153	171	943
154	172	939
155	173	936
156	173	932
157	174	929
158	175	925
159	175	922
160	176	918
161	176	914
162	177	911
163	178	907
164	178	905
165	179	902
166	181	903
167	181	900
168	182	896
169	183	893
170	183	890
171	184	887
172	185	884
173	185	881
174	186	878
175	187	876
176	187	873
177	188	870
178	189	867
179	189	864
180	190	861
181	191	859
182	191	856
183	192	853
184	193	851
185	194	849
186	194	846
187	195	844
188	196	841
189	196	838
190	197	835
191	197	833
192	199	833
193	199	830
194	200	828
195	201	825
196	201	822
197	202	820
198	203	818
199	203	815
200	204	813
201	205	810
202	205	808
203	206	805
204	207	803
205	207	800
206	208	798
207	209	795
208	210	796
209	210	793
210	211	791
211	212	789
212	213	787
213	213	785
214	214	782
215	215	780
216	215	778
217	216	776
218	217	774
219	217	771
220	218	769
221	219	767
222	219	766
223	220	764
224	221	762
225	222	760
226	222	758
227	223	756
228	224	754
229	224	753
230	225	751
231	226	749
232	226	747
233	227	745
234	228	743
235	228	740
236	229	738
237	230	736
238	230	734
239	231	732
240	232	730
241	232	728
242	233	726
243	233	724
244	234	722
245	235	721
246	236	720
247	236	718
248	237	716
249	238	714
250	238	712
251	239	710
252	240	708
253	240	706
254	241	705
255	241	703
256	242	701
257	243	699
258	243	698
259	245	697
260	245	695
261	246	694
262	247	692
263	247	690
264	248	688
265	248	686
266	249	684
267	250	683
268	250	681
269	251	680
270	252	678
271	252	676
272	253	675
273	254	673
274	254	671
275	255	670
276	256	668
277	256	666
278	257	665
279	258	663
280	258	661
281	259	660
282	260	658
283	260	657
284	261	656
285	262	655
286	263	654
287	264	652
288	264	651
289	265	649
290	265	648
291	266	646
292	267	644
293	268	644
294	269	643
295	269	641
296	270	639
297	270	638
298	271	636
299	272	635
300	272	633
301	273	632
302	274	630
303	274	628
304	276	629
305	277	628
306	277	627
307	278	625
308	279	624
309	279	622
310	280	621
311	281	619
312	281	618
313	282	616
314	282	615
315	283	613
316	284	613
317	285	611
318	285	610
319	286	608
320	287	607
321	287	605
322	288	604
323	289	603
324	289	601
325	290	600
326	290	598
327	291	597
328	292	596
329	293	595
330	294	594
331	294	592
332	295	591
333	295	590
334	296	588
335	297	587
336	297	585
337	298	584
338	299	583
339	299	581
340	300	580
341	301	579
342	301	577
343	302	576
344	303	575
345	303	573
346	304	572
347	304	571
348	305	569
349	306	568
350	306	567
351	307	566
352	308	564
353	309	564
354	310	563
355	311	563
356	312	563
357	313	561
358	313	560
359	314	559
360	315	557
361	315	556
362	316	555
363	317	555
364	318	553
365	319	552
366	319	551
367	321	551
368	321	550
369	322	549
370	323	548
371	324	547
372	325	546
373	325	545
374	326	544
375	327	542
376	327	541
377	328	540
378	328	538
379	329	537
380	330	536
381	331	535
382	331	534
383	332	533
384	333	532
385	333	531
386	334	530
387	335	528
388	336	527
389	336	526
390	337	525
391	338	524
392	338	523
393	339	522
394	340	521
395	340	519
396	341	519
397	342	518
398	343	516
399	343	515
400	344	514
401	345	513
402	345	512
403	346	510
404	347	509
405	347	508
406	348	507
407	349	507
408	350	505
409	350	504
410	351	503
411	352	502
412	352	501
413	353	500
414	354	499
415	355	498
416	356	497
417	356	496
418	357	496
419	358	495
420	359	494
421	359	492
422	360	491
423	361	490
424	361	489
425	362	488
426	363	487
427	363	486
428	364	484
429	364	483
430	365	482
431	366	482
432	367	481
433	368	480
434	369	479
435	369	478
436	370	477
437	371	476
438	371	475
439	372	474
440	373	473
441	373	472
442	374	471
443	375	470
444	376	469
445	376	468
446	377	467
447	378	465
448	378	465
449	379	463
450	380	462
451	380	461
452	381	460
453	382	460
454	383	459
455	384	458
456	384	457
457	386	457
458	386	455
459	387	454
460	388	453
461	388	452
462	389	451
463	390	450
464	391	450
465	391	449
466	392	448
467	393	447
468	393	446
469	394	445
470	395	443
471	395	442
472	396	441
473	397	440
474	398	440
475	399	439
476	400	438
477	401	438
478	401	437
479	402	436
480	403	434
481	403	433
482	404	432
483	405	431
484	405	430
485	406	429
486	407	429
487	407	428
488	408	426
489	409	426
490	409	425
491	410	423
492	411	422
493	411	421
494	412	420
495	413	419
496	414	419
497	415	418
498	416	418
499	417	417
500	417	416
501	418	415
502	419	414
503	419	413
504	420	412
505	421	411
506	421	410
507	422	409
508	423	408
509	423	407
510	424	406
511	425	405
512	425	404
513	427	403
514	427	402
515	428	401
516	428	400
517	429	399
518	430	398
519	431	398
520	432	397
521	432	396
522	434	395
523	434	394
524	435	393
525	436	392
526	436	391
527	437	390
528	437	389
529	438	388
530	439	387
531	439	387
532	440	386
533	441	385
534	442	384
535	443	383
536	443	382
537	444	381
538	445	380
539	445	379
540	446	378
541	447	378
542	448	377
543	449	376
544	449	375
545	450	374
546	450	373
547	451	372
548	452	371
549	452	370
550	453	369
551	454	368
552	454	367
553	455	366
554	456	366
555	457	365
556	458	364
557	459	363
558	459	362
559	460	361
560	461	360
561	461	359
562	462	358
563	463	358
564	463	357
565	464	356
566	466	355
567	466	354
568	467	353
569	467	352
570	468	351
571	469	350
572	469	350
573	470	349
574	470	348
575	471	347
576	472	346
577	473	345
578	473	344
579	474	343
580	475	342
581	475	341
582	476	340
583	477	339
584	477	339
585	478	338
586	479	337
587	480	336
588	480	335
589	481	334
590	481	333
591	482	332
592	483	331
593	483	330
594	484	329
595	485	328
596	485	327
597	486	327
598	487	326
599	487	325
600	488	324
601	489	323
602	489	322
603	490	321
604	491	320
605	492	319
606	492	319
607	493	318
608	493	317
609	494	316
610	495	315
611	496	314
612	497	313
613	497	312
614	498	312
615	499	311
616	499	310
617	500	309
618	501	308
619	501	307
620	502	306
621	503	305
622	503	304
623	504	303
624	505	303
625	506	302
626	506	301
627	507	300
628	507	299
629	508	298
630	509	297
631	509	296
632	510	295
633	511	295
634	511	294
635	512	293
636	513	292
637	513	291
638	515	291
639	515	290
640	516	289
641	517	288
642	517	287
643	518	286
644	519	285
645	519	284
646	520	283
647	521	283
648	521	282
649	522	281
650	523	280
651	524	279
652	524	278
653	525	277
654	526	277
655	526	276
656	527	275
657	528	274
658	528	273
659	529	272
660	530	271
661	530	270
662	531	270
663	532	269
664	532	268
665	533	267
666	533	266
667	534	265
668	535	264
669	535	263
670	536	263
671	537	262
672	538	261
673	538	260
674	539	259
675	540	258
676	540	257
677	541	257
678	541	256
679	542	255
680	543	254
681	543	253
682	544	252
683	545	251
684	545	251
685	546	250
686	547	249
687	547	248
688	548	247
689	548	246
690	549	245
691	550	244
692	550	244
693	551	243
694	552	242
695	553	241
696	553	240
697	554	239
698	555	239
699	556	238
700	556	237
701	557	236
